Branch;Deal Expense Code;Deal Name;Deal Internal ID;Contrato;Admin Agent;Fac Name;FAC FCN;FAC Internal ID;Fac Effective Date;Deal Status;Fac Primary Borrower LegalName;Codigo GLS;Fac Maturity Date;Fac Currency;Fac Risk Type;FAC Status;Fac Global Commitment;Fac Santander Commitment;FAC Global Outstanding Amount;FAC Host Bank Share Gross Outstanding;FAC Global Available to Draw;FAC Host Bank Gross Available to Draw;FAC Type;FAC Guarantee Type
SAN  ;100004;EUSKALTEL 150MM EUR 14/07/03 (MIG)      ;--81QM30;4918001606014490;SANBBKE-KUTXABANK SA          ;TRAMO PRESTAMO                ;18002310532704;--81QM3J;39288;Terminated;EUSKALTEL SA;5EKT                ;42394;EUR;Syndicated Loan Investment Portfolio;TERMINATED;0;0;0;0;0;0;Term                                              ;
SAN  ;100004;EUSKALTEL 150MM EUR 14/07/03 (MIG)      ;--81QM30;4918001606014490;SANBBKE-KUTXABANK SA          ;TRAMO PRESTAMO                ;18002310532704;--81QM3J;39288;Terminated;EUSKALTEL SA;5EKT                ;42394;EUR;Loans;TERMINATED;0;0;0;0;0;0;Term                                              ;
SAN  ;100002;CORP EOLICA MANZANEDO 2,8MM EUR 19/07/99;--81QM9I;;SANBSAB-BANCO DE SABADELL S.A ;TRAMO CREDITO                 ;18232010098324;--81QMOB;36360;Terminated;CORPORACION EOLICA DEL MANZANEDO S.L.;5EMZ                ;40378;EUR;Loans;TERMINATED;0;0;0;0;0;0;Revolver                                          ;
SAN  ;100002;S.E. CABANILLAS 19,8MM EUR 22/12/97     ;--81QN51;;SANCAJA-CAJA DE MADRID - MADR ;TRAMO CREDITO                 ;18922410452362;--81QNDH;35786;Terminated;EOLICA CABANILLAS S.L.;5EOC                ;40169;EUR;Loans;TERMINATED;0;0;0;0;0;0;Revolver                                          ;
SAN  ;100002;GENERACION ENER RENOV 7,9MM EUR 19/07/99;--81QNT4;;SANBSAB-BANCO DE SABADELL S.A ;TRAMO CREDITO                 ;18232210098316;--81QO2Q;36360;Terminated;GENERACION DE ENERGIA RENOVABLE S.A.,VITORIA;5ERH                ;40378;EUR;Loans;TERMINATED;0;0;0;0;0;0;Revolver                                          ;
SAN  ;100004;FERIA MUES INT VCIA 30,05MM EUR 28/05/02;--81QOOC; ;BANCO SANTANDER, S.A.         ;TRAMO SENIOR                  ;18272110438809;--81QOW4;37404;Closed;FERIA MUESTRARIO INTERNACIONAL VALENCIA;5FMI                ;42152;EUR;Syndicated Credit Investment Portfolio;ACTIVE;21000000;14000000;15907004,92;10604669,94;0;0;Revolver                                          ;
SAN  ;100004;FERIA MUES INT VCIA 30,05MM EUR 28/05/02;--81QOOC; ;BANCO SANTANDER, S.A.         ;TRAMO SENIOR                  ;18272110438809;--81QOW4;37404;Closed;FERIA MUESTRARIO INTERNACIONAL VALENCIA;5FMI                ;42152;EUR;Loans;ACTIVE;21000000;14000000;15907004,92;10604669,94;0;0;Revolver                                          ;
SAN  ;100004;GAS NATURAL 600MM EUR 20/12/04          ;--81QPAF;;SANCAIX-CAIXA DESTALVIS I PEN ;TRAMO PRESTAMO                ;16002610273643;--81QT6V;38341;Terminated;GAS NATURAL SDG S.A., MADRID;5GNS                ;40290;EUR;Loans;TERMINATED;0;0;0;0;0;0;Term                                              ;
SAN  ;100003;GOROMAR XXI 30MM EUR 30/01/06           ;--81QU6Y; ;SANBBVD-BANCO BILBAO VIZCAYA  ;TRAMO PRESTAMO                ;66582216244761;--81QULH;38747;Terminated;GOROMAR XXI S.L.;5GOR                ;41274;EUR;Syndicated Loan Investment Portfolio;TERMINATED;0;0;0;0;0;0;Term                                              ;
SAN  ;100003;GOROMAR XXI 30MM EUR 30/01/06           ;--81QU6Y; ;SANBBVD-BANCO BILBAO VIZCAYA  ;TRAMO PRESTAMO                ;66582216244761;--81QULH;38747;Terminated;GOROMAR XXI S.L.;5GOR                ;41274;EUR;Loans;TERMINATED;0;0;0;0;0;0;Term                                              ;
SAN  ;100004;IZASA DISTR TECN 250MM EUR 12/04/05     ;--81QV10;;SANBBVD-BANCO BILBAO VIZCAYA  ;TRAMO CREDITO                 ;18062411998859;--81QV8N;38454;Terminated;WERFEN ESPA?A SAU;5IZS                ;40675;EUR;Loans;TERMINATED;0;0;0;0;0;0;Revolver                                          ;
SAN  ;100004;IZASA DISTR TECN 250MM EUR 12/04/05     ;--81QV10;;SANBBVD-BANCO BILBAO VIZCAYA  ;TRAMO CREDITO                 ;18062411998859;--81QV8N;38454;Terminated;WERFEN ESPA?A SAU;5IZS                ;40675;EUR;Syndicated Credit Investment Portfolio;TERMINATED;0;0;0;0;0;0;Revolver                                          ;
SAN  ;100004;JUSPE 15,6MM EUR 20/12/02               ;--81QVKK;;BANCO SANTANDER, S.A.         ;TRAMO A                       ;18762010158444;YB82RW4O;37610;Terminated;JUSPE SA, FUENGIROLA;5JUG                ;40128;EUR;Loans;TERMINATED;0;0;0;0;0;0;Term                                              ;
